NT,stage,phase,active TPDmin,z,active w*,native TPDmin from independent search,native w*,"amendment effect at same z,w",dominant TPD component terms,influential residual terms/parameters,root-cause class
1,1,raffinate,-0.6199880583879483,"[0.7998479145966678,0.051963033180817984,0.024265357902384717,0.008050034067651304,0.0027902806991889234,0.1130833795532893]","[0.0018596689127129502,0.960989121832635,0.009596069003172026,0.0036092322833934203,0.0022224761238415834,0.02172343184424505]",-8.851670308800877e-15,"[0.7998479005786799,0.05196302716445995,0.024265365883105607,0.008050031440225893,0.0027902807696177025,0.11308339416391092]",-3.3983993741816874,"[-0.0011529676964969525,-0.5958017981629496,-0.005949447989499252,-0.0022376731661765395,-0.0013779055377054427,-0.013468265835120485]","{""A_MONO_NMP_asymmetry"":-0.6069432987684907,""A_MONO_NMP_ref"":-0.35431972659478306,""A_MONO_NMP_temperature"":-0.579703817893347,""A_SAT_MONO_asymmetry"":-1.0111897114389108,""A_SAT_MONO_ref"":2.693201055663784,""A_SAT_MONO_temperature"":-0.3031211662865356,""A_SAT_NMP_asymmetry"":-0.5546336171952374,""A_SAT_NMP_ref"":-0.832305411578776,""A_SAT_NMP_temperature"":-0.63247745721755,""MONO_NMP_block"":-0.3009907264807242,""SAT_MONO+MONO_NMP"":2.9378636266214575,""SAT_MONO+SAT_NMP"":2.4594139838865154,""SAT_MONO_block"":2.6188662947142336,""SAT_NMP+MONO_NMP"":-0.460443037308443,""SAT_NMP_block"":-0.7794403692156668,""asymmetry_class"":-0.9327905106267426,""ref_class"":2.746552034266122,""temperature_class"":-0.27532632462153656}",single-MONO-rich-basin-family; endpoint-correlation-class-1
1,1,extract,-0.6199880583879483,"[0.03250079503824151,0.03591023922072852,0.017991512228670497,0.006697288976063396,0.004289645768672925,0.9026105187676232]","[0.0018596687858037564,0.9609891116090843,0.009596074769256691,0.003609229319030483,0.002222477115224251,0.021723438401600355]",-5.857845094410718e-15,"[0.03250079455164543,0.03591023462173161,0.01799150873920516,0.006697288983220591,0.004289644754247425,0.9026105283499498]",-3.477772725592649,"[-0.0011529678583274148,-0.5958018009475776,-0.005949445939301683,-0.0022376743468063023,-0.0013779051986378683,-0.013468264097297428]","{""A_MONO_NMP_asymmetry"":-0.17474059751559703,""A_MONO_NMP_ref"":1.986805275000422,""A_MONO_NMP_temperature"":-0.22471065045173505,""A_SAT_MONO_asymmetry"":-0.6203968176480332,""A_SAT_MONO_ref"":-0.4905217184076696,""A_SAT_MONO_temperature"":-0.6076061522035688,""A_SAT_NMP_asymmetry"":-0.6477426224160487,""A_SAT_NMP_ref"":-0.6985944968687827,""A_SAT_NMP_temperature"":-0.624612019387873,""MONO_NMP_block"":2.8273301438089873,""SAT_MONO+MONO_NMP"":2.96876963071356,""SAT_MONO+SAT_NMP"":-0.5895335349922348,""SAT_MONO_block"":-0.478548571483375,""SAT_NMP+MONO_NMP"":2.7163451803001273,""SAT_NMP_block"":-0.7309730218968072,""asymmetry_class"":-0.20290392080378214,""ref_class"":2.037665176499866,""temperature_class"":-0.21695270526728028}",single-MONO-rich-basin-family; endpoint-correlation-class-4
2,1,raffinate,-0.7191214005206582,"[0.7723783873236163,0.06444602214326363,0.031049540215619276,0.010321165915422714,0.003496767400273209,0.11830811700180498]","[0.0016439226941981633,0.9622022569489311,0.010541744851566079,0.003957991670602538,0.0023402709761209703,0.019313812858581123]",-1.4830335570034596e-14,"[0.7723783873565349,0.0644460231949228,0.03104954027870504,0.0103211660533533,0.003496765325988391,0.11830811779049574]",-3.2912923143714727,"[-0.0011821834844566695,-0.6919402336809455,-0.007580793732994954,-0.002846277191317142,-0.0016829431966328497,-0.013888969234311132]","{""A_MONO_NMP_asymmetry"":-0.7089159966303078,""A_MONO_NMP_ref"":-0.4348218087597796,""A_MONO_NMP_temperature"":-0.6760120353595567,""A_SAT_MONO_asymmetry"":-1.0565943506516382,""A_SAT_MONO_ref"":2.4412388699040815,""A_SAT_MONO_temperature"":-0.41687075851440464,""A_SAT_NMP_asymmetry"":-0.6553084574870726,""A_SAT_NMP_ref"":-0.9413234916464902,""A_SAT_NMP_temperature"":-0.7321922611692826,""MONO_NMP_block"":-0.3815070397083273,""SAT_MONO+MONO_NMP"":2.743630922591685,""SAT_MONO+SAT_NMP"":2.234556553038484,""SAT_MONO_block"":2.4060165617793543,""SAT_NMP+MONO_NMP"":-0.5529670484491988,""SAT_NMP_block"":-0.8905814092615293,""asymmetry_class"":-0.9825760037277019,""ref_class"":2.503336370539128,""temperature_class"":-0.38683225400192767}",single-MONO-rich-basin-family; endpoint-correlation-class-1
2,1,extract,-0.7191214005205859,"[0.03544929077956617,0.04699544093027833,0.023424727171243,0.00871384393067954,0.005370575605104834,0.8800461215831282]","[0.001643911394514626,0.9622023041506088,0.010541736697157526,0.003957992612195896,0.002340272911828874,0.019313782233694256]",-6.5230373739348485e-15,"[0.03544928285817827,0.04699543870365385,0.023424732730375916,0.008713846257090511,0.0053705777975483785,0.8800461216531531]",-3.338675972798889,"[-0.0011821860310982392,-0.6919402273120264,-0.0075807945136963555,-0.0028462763602963618,-0.001682942311262826,-0.013888973992205818]","{""A_MONO_NMP_asymmetry"":-0.3191124769155528,""A_MONO_NMP_ref"":1.8008463780420259,""A_MONO_NMP_temperature"":-0.3370096623805044,""A_SAT_MONO_asymmetry"":-0.7187611081550296,""A_SAT_MONO_ref"":-0.5778095881100673,""A_SAT_MONO_temperature"":-0.7056066166448833,""A_SAT_NMP_asymmetry"":-0.7479962768571865,""A_SAT_NMP_ref"":-0.8038611332085408,""A_SAT_NMP_temperature"":-0.7241061476566449,""MONO_NMP_block"":2.5829670397871407,""SAT_MONO+MONO_NMP"":2.7381539284389174,""SAT_MONO+SAT_NMP"":-0.682533868029424,""SAT_MONO_block"":-0.5639345118688085,""SAT_NMP+MONO_NMP"":2.464367683626526,""SAT_NMP_block"":-0.8377207566812013,""asymmetry_class"":-0.34762706088659695,""ref_class"":1.8574184577645894,""temperature_class"":-0.3284796256408616}",single-MONO-rich-basin-family; endpoint-correlation-class-4
2,2,raffinate,-0.42456884500530123,"[0.8317626772774983,0.03724143416576778,0.016974973794473675,0.0052983653641565384,0.0012108585991025245,0.10751169079900133]","[0.0023729796812617856,0.9570965440141636,0.008775903560002431,0.003119835121475193,0.001295007898646003,0.027339729724450916]",-2.3057273654643477e-14,"[0.8317626848215446,0.037241431357554804,0.016974978551191844,0.0052983651262107,0.0012108587487143234,0.10751168139478383]",-3.510032513166256,"[-0.001007489090723135,-0.4063533798659295,-0.003725965780201784,-0.0013245818493448098,-0.0005498169964192297,-0.011607611422682792]","{""A_MONO_NMP_asymmetry"":-0.4068054171660777,""A_MONO_NMP_ref"":-0.1886571173532392,""A_MONO_NMP_temperature"":-0.3887967049535038,""A_SAT_MONO_asymmetry"":-0.882807434570438,""A_SAT_MONO_ref"":3.060019226852204,""A_SAT_MONO_temperature"":-0.09130969360332675,""A_SAT_NMP_asymmetry"":-0.358552466639042,""A_SAT_NMP_ref"":-0.6182174167785828,""A_SAT_NMP_temperature"":-0.4359600676694495,""MONO_NMP_block"":-0.13512154946221816,""SAT_MONO+MONO_NMP"":3.2244870842321247,""SAT_MONO+SAT_NMP"":2.7960163726178724,""SAT_MONO_block"":2.9350397886890423,""SAT_NMP+MONO_NMP"":-0.2741449655333885,""SAT_NMP_block"":-0.5635922610764716,""asymmetry_class"":-0.7990276283649542,""ref_class"":3.102282382730985,""temperature_class"":-0.0669287762156775}",single-MONO-rich-basin-family; endpoint-correlation-class-1
2,2,extract,-0.4245688450053098,"[0.029529575742523306,0.02435389053360203,0.012392130850421812,0.004353603768192014,0.0018726329733620693,0.9274981661318987]","[0.00237297546907223,0.9570965451030998,0.008775890505848302,0.0031198319526722813,0.001295007663900521,0.027339749305406915]",-6.4573346361182556e-15,"[0.029529577054358595,0.02435389144501283,0.012392131569860954,0.004353603964315164,0.0018726331798952858,0.9274981627865572]",-3.613776102300764,"[-0.0010074913978640524,-0.4063533787101322,-0.0037259734714530537,-0.001324583742681533,-0.0005498171751231733,-0.011607600508055819]","{""A_MONO_NMP_asymmetry"":0.07227132917643002,""A_MONO_NMP_ref"":2.2613221502592644,""A_MONO_NMP_temperature"":-0.01729757535409782,""A_SAT_MONO_asymmetry"":-0.4259048551504253,""A_SAT_MONO_ref"":-0.3088749023215756,""A_SAT_MONO_temperature"":-0.4135041038175297,""A_SAT_NMP_asymmetry"":-0.4508386838295094,""A_SAT_NMP_ref"":-0.4957602397343547,""A_SAT_NMP_temperature"":-0.4287566219752285,""MONO_NMP_block"":3.165433594092216,""SAT_MONO+MONO_NMP"":3.290856267818617,""SAT_MONO+SAT_NMP"":-0.4007951818020733,""SAT_MONO_block"":-0.29914617127891086,""SAT_NMP+MONO_NMP"":3.063784583569054,""SAT_NMP_block"":-0.5262178555284731,""asymmetry_class"":0.04466548020711492,""ref_class"":2.3058246982139545,""temperature_class"":-0.010420611136236423}",single-MONO-rich-basin-family; endpoint-correlation-class-3
3,1,raffinate,-0.7486742493863494,"[0.7598762621668242,0.06991470971370682,0.03426117900580575,0.011384934317060903,0.0037415397044579402,0.12082137509214447]","[0.0015852051805891124,0.9622321466129949,0.011047611265031534,0.004139525105013964,0.00235523130796151,0.01864028052840891]",-5.4258195662623095e-15,"[0.7598762621668246,0.06991470971370725,0.034261179005805185,0.011384934317061305,0.003741539704456314,0.12082137509214524]",-3.240522407125275,"[-0.0011867917858426377,-0.7203984650359768,-0.008271055019465658,-0.003099148581025362,-0.0017632971563469608,-0.013955491807691903]","{""A_MONO_NMP_asymmetry"":-0.7395290513684672,""A_MONO_NMP_ref"":-0.4570003759446951,""A_MONO_NMP_temperature"":-0.704446695487064,""A_SAT_MONO_asymmetry"":-1.06327549593607,""A_SAT_MONO_ref"":2.341825393923957,""A_SAT_MONO_temperature"":-0.45310494038946775,""A_SAT_NMP_asymmetry"":-0.6857401256844698,""A_SAT_NMP_ref"":-0.9743264844664193,""A_SAT_NMP_temperature"":-0.7619480619991751,""MONO_NMP_block"":-0.40362762402752794,""SAT_MONO+MONO_NMP"":2.667840081729941,""SAT_MONO+SAT_NMP"":2.146801532380104,""SAT_MONO_block"":2.322793456371119,""SAT_NMP+MONO_NMP"":-0.5796195480185432,""SAT_NMP_block"":-0.9246661733773651,""asymmetry_class"":-0.9911961742163082,""ref_class"":2.4078470322855425,""temperature_class"":-0.42215119910300775}",single-MONO-rich-basin-family; endpoint-correlation-class-1
3,1,extract,-0.7486742493863925,"[0.0369978072979301,0.05250467144038345,0.02611624267729673,0.00969975768177243,0.005756638754923867,0.8689248821476935]","[0.0015852004720276428,0.9622321584396104,0.011047608687877563,0.004139525630110903,0.002355229240249635,0.01864027753012385]",-3.3953596402200532e-15,"[0.03699780928308804,0.05250468008427246,0.026116242679742736,0.009699757393352484,0.005756640182953427,0.8689248703765908]",-3.26799333060692,"[-0.0011867927952082325,-0.7203984637945017,-0.008271055261358533,-0.003099148302560597,-0.0017632976073342476,-0.01395549162542905]","{""A_MONO_NMP_asymmetry"":-0.37009732154511593,""A_MONO_NMP_ref"":1.725801668822814,""A_MONO_NMP_temperature"":-0.37346060493573935,""A_SAT_MONO_asymmetry"":-0.7479374447244175,""A_SAT_MONO_ref"":-0.6015302355872301,""A_SAT_MONO_temperature"":-0.734601685237813,""A_SAT_NMP_asymmetry"":-0.7780513649168649,""A_SAT_NMP_ref"":-0.836365319174628,""A_SAT_NMP_temperature"":-0.7538326065716167,""MONO_NMP_block"":2.4795922411147435,""SAT_MONO+MONO_NMP"":2.6415456237244594,""SAT_MONO+SAT_NMP"":-0.7089474092806082,""SAT_MONO_block"":-0.5867208667766758,""SAT_NMP+MONO_NMP"":2.357365698610811,""SAT_NMP_block"":-0.8709007918903252,""asymmetry_class"":-0.3987376324136135,""ref_class"":1.7852546128337405,""temperature_class"":-0.3645463979723842}",single-MONO-rich-basin-family; endpoint-correlation-class-4
3,2,raffinate,-0.6110432902891837,"[0.8035080868366692,0.0507798130835853,0.02411308635564471,0.0075306655715743215,0.0016255631663702134,0.1124427849861564]","[0.0018732520165112875,0.9617657475082271,0.009677416485301528,0.00342906842099207,0.001319659743718116,0.0219348558252497]",-1.0708361466724582e-17,"[0.8035080868366692,0.050779813083585305,0.024113086355644704,0.007530665571574319,0.001625563166370213,0.1124427849861564]",-3.4153918851945724,"[-0.0011446431230895348,-0.5876805039211128,-0.005913318023169239,-0.002095312526426054,-0.0008063726818229052,-0.01340314001356324]","{""A_MONO_NMP_asymmetry"":-0.5977309122164646,""A_MONO_NMP_ref"":-0.34728513377904646,""A_MONO_NMP_temperature"":-0.5710486965129887,""A_SAT_MONO_asymmetry"":-1.0090825363860676,""A_SAT_MONO_ref"":2.72446202181381,""A_SAT_MONO_temperature"":-0.292042120886777,""A_SAT_NMP_asymmetry"":-0.5454558288919606,""A_SAT_NMP_ref"":-0.8223417660796095,""A_SAT_NMP_temperature"":-0.6234727544689757,""MONO_NMP_block"":-0.2939781619301323,""SAT_MONO+MONO_NMP"":2.962489073478383,""SAT_MONO+SAT_NMP"":2.487283466546338,""SAT_MONO_block"":2.645423945119332,""SAT_NMP+MONO_NMP"":-0.45211864050312683,""SAT_NMP_block"":-0.7691837688621784,""asymmetry_class"":-0.9301826969161261,""ref_class"":2.7769217025335204,""temperature_class"":-0.2644769912903739}",single-MONO-rich-basin-family; endpoint-correlation-class-1
3,2,extract,-0.6110432902891668,"[0.03197276703171531,0.03460993812713119,0.01780072717652039,0.006241810562389021,0.002499475482633585,0.9068752816196106]","[0.0018732617296532397,0.9617657000299173,0.009677425666935847,0.0034290783071401943,0.0013196706022975365,0.02193486366405579]",-3.791762095465277e-15,"[0.031972765437561224,0.03460994039834591,0.017800723654651,0.006241808588004892,0.0024994771349615237,0.9068752847864754]",-3.5049057942022364,"[-0.0011446400269983323,-0.5876805169731143,-0.0059133152246679055,-0.0020953089387761147,-0.0008063685269747683,-0.013403140598635484]","{""A_MONO_NMP_asymmetry"":-0.15826293368533267,""A_MONO_NMP_ref"":2.013624439597406,""A_MONO_NMP_temperature"":-0.21305552360462493,""A_SAT_MONO_asymmetry"":-0.6115310493442013,""A_SAT_MONO_ref"":-0.4835799065261704,""A_SAT_MONO_temperature"":-0.5988529428989697,""A_SAT_NMP_asymmetry"":-0.6386039162728887,""A_SAT_NMP_ref"":-0.6886155680549855,""A_SAT_NMP_temperature"":-0.6156064176104988,""MONO_NMP_block"":2.8643925628857825,""SAT_MONO+MONO_NMP"":3.003558534983942,""SAT_MONO+SAT_NMP"":-0.5815733492618804,""SAT_MONO_block"":-0.47187731819100776,""SAT_NMP+MONO_NMP"":2.7546965318149095,""SAT_NMP_block"":-0.7207393213600393,""asymmetry_class"":-0.18631131872408901,""ref_class"":2.063515545594584,""temperature_class"":-0.20542830353575967}",single-MONO-rich-basin-family; endpoint-correlation-class-4
3,3,extract,-0.25186131067177975,"[0.028130346468469115,0.01847956614517723,0.009359799174091734,0.0030916348258237096,0.0008495143304123581,0.9400891390560259]","[0.002965803471126381,0.9515658229140522,0.008333972280561076,0.0027884546086840737,0.0007420873291018014,0.03360385939647446]",-5.366986347662701e-15,"[0.02813034797351125,0.018479562806867956,0.009359799913193786,0.003091634855206947,0.0008495141893299538,0.9400891402618902]",-3.659781743333133,"[-0.0007469578757121664,-0.23966265485620944,-0.0020990060336943937,-0.0007022951632946858,-0.00018689319292437397,-0.008463503549944686]","{""A_MONO_NMP_asymmetry"":0.2719596231634909,""A_MONO_NMP_ref"":2.4539041444113394,""A_MONO_NMP_temperature"":0.1584235944911497,""A_SAT_MONO_asymmetry"":-0.2538665635427843,""A_SAT_MONO_ref"":-0.14461453982629527,""A_SAT_MONO_temperature"":-0.24160444038882678,""A_SAT_NMP_asymmetry"":-0.27710852824865545,""A_SAT_NMP_ref"":-0.31829417205633126,""A_SAT_NMP_temperature"":-0.2557691707159735,""MONO_NMP_block"":3.3880099834095403,""SAT_MONO+MONO_NMP"":3.5035083716669737,""SAT_MONO+SAT_NMP"":-0.2319508614199669,""SAT_MONO_block"":-0.13636292241434766,""SAT_NMP+MONO_NMP"":3.2924220444039203,""SAT_NMP_block"":-0.34744924967740054,""asymmetry_class"":0.24470715271561083,""ref_class"":2.494718053872273,""temperature_class"":0.16477260472990987}",single-MONO-rich-basin-family; endpoint-correlation-class-3
4,1,raffinate,-0.7618231992614519,"[0.7528955555801605,0.0729028782911077,0.036119302220614526,0.01198953488833516,0.003829431217699408,0.12226329780208249]","[0.0015598997042098421,0.96214716597012,0.01136070175759612,0.004248282045522967,0.002338662014983005,0.018345288507568117]",-1.2165350776440654e-14,"[0.7528955689428346,0.07290287304217437,0.03611930128540378,0.011989534366425225,0.003829431122635934,0.12226329124052615]",-3.2118594653864703,"[-0.0011883627675701935,-0.7329860255984927,-0.008654853355128661,-0.003236433479848168,-0.0017816456577169264,-0.013975878402695475]","{""A_MONO_NMP_asymmetry"":-0.7532232332203558,""A_MONO_NMP_ref"":-0.46621294053401074,""A_MONO_NMP_temperature"":-0.7169987571652865,""A_SAT_MONO_asymmetry"":-1.0641029619504299,""A_SAT_MONO_ref"":2.2897828530121025,""A_SAT_MONO_temperature"":-0.46997359683435547,""A_SAT_NMP_asymmetry"":-0.6994156798624247,""A_SAT_NMP_ref"":-0.9892061892609175,""A_SAT_NMP_temperature"":-0.7751988221509211,""MONO_NMP_block"":-0.4127885323967487,""SAT_MONO+MONO_NMP"":2.6283873596149254,""SAT_MONO+SAT_NMP"":2.1010015992603157,""SAT_MONO_block"":2.2793526927502215,""SAT_NMP+MONO_NMP"":-0.5911396258866553,""SAT_NMP_block"":-0.9401742927513588,""asymmetry_class"":-0.9930954765103059,""ref_class"":2.3580101217400795,""temperature_class"":-0.43852477762765923}",single-MONO-rich-basin-family; endpoint-correlation-class-1
4,1,extract,-0.7618231992614328,"[0.037936039664089656,0.05576109191626532,0.027717188024117413,0.010276211124965398,0.0059029208365707735,0.8624065484339914]","[0.0015598965730659743,0.9621471276328334,0.011360725275190246,0.004248271101693184,0.0023386588804332827,0.018345320536783945]",-1.2120669331996838e-14,"[0.03793604112612023,0.05576109717409737,0.02771719171455917,0.010276211628944343,0.005902920980715694,0.8624065373755632]",-3.226325379177556,"[-0.0011883638453733388,-0.7329860309456812,-0.008654848386771673,-0.003236436340052195,-0.0017816465955936614,-0.013975873147960807]","{""A_MONO_NMP_asymmetry"":-0.39555890021731416,""A_MONO_NMP_ref"":1.6855193235585713,""A_MONO_NMP_temperature"":-0.39072388871695546,""A_SAT_MONO_asymmetry"":-0.7608612621393472,""A_SAT_MONO_ref"":-0.6112307351857454,""A_SAT_MONO_temperature"":-0.7474208321091392,""A_SAT_NMP_asymmetry"":-0.7914830391031826,""A_SAT_NMP_ref"":-0.8512409530098527,""A_SAT_NMP_temperature"":-0.7670831272523744,""MONO_NMP_block"":2.422882933147168,""SAT_MONO+MONO_NMP"":2.5888397014972346,""SAT_MONO+SAT_NMP"":-0.7202039524924775,""SAT_MONO_block"":-0.5958664309113662,""SAT_NMP+MONO_NMP"":2.298545411566056,""SAT_NMP_block"":-0.8861607208425436,""asymmetry_class"":-0.42425680293697837,""ref_class"":1.7466940338858392,""temperature_class"":-0.381581449555603}",single-MONO-rich-basin-family; endpoint-correlation-class-4
4,2,raffinate,-0.675396162962853,"[0.7883053785205526,0.05776944573827828,0.028107651126951443,0.008764590189498543,0.0017869729403750451,0.11526596148434426]","[0.0017288866773191738,0.9627556210918581,0.010257963886683876,0.0036217362094197814,0.001303692491927715,0.020332099642791257]",-1.4061676862599956e-14,"[0.7883053959248697,0.057769433326164216,0.02810765282995608,0.00876459006362329,0.0017869722390145787,0.11526595561637211]",-3.3574822458141327,"[-0.0011676821503119642,-0.6502414880411694,-0.006928181126280357,-0.002446103916736733,-0.0008805035210723625,-0.013732204207282137]","{""A_MONO_NMP_asymmetry"":-0.6637979516507383,""A_MONO_NMP_ref"":-0.4005620154244159,""A_MONO_NMP_temperature"":-0.6337220770044757,""A_SAT_MONO_asymmetry"":-1.042854820051544,""A_SAT_MONO_ref"":2.575898204062134,""A_SAT_MONO_temperature"":-0.36444876276263927,""A_SAT_NMP_asymmetry"":-0.6105431408403148,""A_SAT_NMP_ref"":-0.8928641154922182,""A_SAT_NMP_temperature"":-0.6881885416873326,""MONO_NMP_block"":-0.34728971815392395,""SAT_MONO+MONO_NMP"":2.8474933919825856,""SAT_MONO+SAT_NMP"":2.3539796380423503,""SAT_MONO_block"":2.5193869471736567,""SAT_NMP+MONO_NMP"":-0.5126970272852306,""SAT_NMP_block"":-0.8408034720941596,""asymmetry_class"":-0.966403586616891,""ref_class"":2.633264399071205,""temperature_class"":-0.33556705552874105}",single-MONO-rich-basin-family; endpoint-correlation-class-1
4,3,raffinate,-0.5039619672970029,"[0.822963105602351,0.04199585553676392,0.019544618472225588,0.005721751158034702,0.0007593809772293349,0.10901528825339551]","[0.002136683268464335,0.9601365045754959,0.009105075524239767,0.0030327856972646038,0.0007273573026365611,0.024861593631898896]",-3.129898382860931e-14,"[0.8229631300355635,0.04199585891512033,0.01954461844480296,0.005721752053553468,0.0007593809107197207,0.10901525964023992]",-3.4865925902299253,"[-0.0010768006814683908,-0.48387230758510874,-0.004588606170695811,-0.0015284061002878795,-0.00036655673635649117,-0.012529290023085707]","{""A_MONO_NMP_asymmetry"":-0.48803740412130847,""A_MONO_NMP_ref"":-0.2567952429348025,""A_MONO_NMP_temperature"":-0.4664831917904755,""A_SAT_MONO_asymmetry"":-0.9424906061146966,""A_SAT_MONO_ref"":2.9382208102995264,""A_SAT_MONO_temperature"":-0.1747583748560709,""A_SAT_NMP_asymmetry"":-0.43779622644406213,""A_SAT_NMP_ref"":-0.7051293986092391,""A_SAT_NMP_temperature"":-0.5157954808719717,""MONO_NMP_block"":-0.20339190425258036,""SAT_MONO+MONO_NMP"":3.1294658269671873,""SAT_MONO+SAT_NMP"":2.6820605598885003,""SAT_MONO_block"":2.8288957639227643,""SAT_NMP+MONO_NMP"":-0.3502271082868445,""SAT_NMP_block"":-0.6507971713312671,""asymmetry_class"":-0.8604003020860623,""ref_class"":2.9842201033494904,""temperature_class"":-0.149113112924512}",single-MONO-rich-basin-family; endpoint-correlation-class-5
